Date,forecast_load_mw,Temperature
2019-01-01,10607.772222222222,30.0
2019-01-02,11498.472222222224,28.0
2019-01-03,11677.972222222224,31.0
2019-01-04,11224.68888888889,39.5
2019-01-05,10379.06111111111,42.0
2019-01-06,9844.361111111111,35.0
2019-01-07,10730.266666666666,46.5
2019-01-08,11076.466666666667,34.5
2019-01-09,11954.033333333333,19.5
2019-01-10,12390.488888888887,19.0
2019-01-11,12057.538888888888,23.5
2019-01-12,11164.605555555556,30.5
2019-01-13,10578.9,28.0
2019-01-14,11661.766666666666,25.0
2019-01-15,11972.377777777778,28.0
2019-01-16,11904.144444444444,31.0
2019-01-17,11985.705555555556,31.5
2019-01-18,11874.666666666666,29.0
2019-01-19,11243.788888888888,19.5
2019-01-20,11181.761111111113,9.0
2019-01-21,12663.388888888889,10.0
2019-01-22,12815.4,23.0
2019-01-23,12007.816666666668,26.5
2019-01-24,12335.611111111111,12.0
2019-01-25,13201.233333333334,-0.5
2019-01-26,12815.377777777778,2.5
2019-01-27,12130.722222222224,3.0
2019-01-28,12683.583333333334,21.0
2019-01-29,13416.461111111112,0.0
2019-01-30,14912.68888888889,-16.5
2019-01-31,15341.0,-10.0
2019-02-01,14160.972222222224,11.0
2019-02-02,11997.422222222222,28.0
2019-02-03,10285.205555555556,43.5
2019-02-04,10946.322222222225,40.5
2019-02-05,11645.16111111111,28.5
2019-02-06,11729.405555555555,34.0
2019-02-07,11630.216666666667,27.0
2019-02-08,13042.044444444444,8.5
2019-02-09,12545.65,14.0
2019-02-10,11335.861111111111,25.0
2019-02-11,11923.922222222222,29.0
2019-02-12,12030.038888888888,26.5
2019-02-13,12269.388888888889,18.5
2019-02-14,12030.272222222222,38.5
2019-02-15,12176.022222222222,20.0
2019-02-16,11577.288888888888,21.0
2019-02-17,11014.616666666669,25.5
2019-02-18,11824.866666666669,24.5
2019-02-19,12259.45,23.5
2019-02-20,12090.988888888887,33.0
2019-02-21,11907.238888888887,29.5
2019-02-22,11733.222222222224,30.0
2019-02-23,10861.211111111112,43.5
2019-02-24,10398.083333333334,30.0
2019-02-25,12281.472222222224,12.5
2019-02-26,12623.616666666669,18.0
2019-02-27,12194.93888888889,22.0
2019-02-28,12357.966666666667,19.0
2019-03-01,12005.433333333332,28.5
2019-03-02,11107.327777777778,29.0
2019-03-03,10778.955555555556,14.0
2019-03-04,12557.711111111112,4.5
2019-03-05,12974.455555555556,14.5
2019-03-06,12693.827777777778,19.5
2019-03-07,12454.25,21.0
2019-03-08,11855.281690140846,30.0
2019-03-09,11216.021739130434,34.5
2019-03-10,10157.011494252874,33.5
2019-03-11,11278.382978723404,34.0
2019-03-12,11184.04347826087,36.5
2019-03-13,10838.377777777778,49.0
2019-03-14,10544.605555555556,50.5
2019-03-15,10812.844444444445,36.0
2019-03-16,10387.944444444443,34.5
2019-03-17,9768.394444444444,35.5
2019-03-18,10913.616666666669,35.0
